-0.20527,-0.64521,1
-1.4168,-0.98833,1
0.79969,0.09365,1
-1.5663,0.082371,1
-0.7855,-0.22645,1
-1.022,-0.60525,1
2.4658,0.17608,1
-0.75527,0.61708,-1
-1.3537,-0.88222,1
0.69248,-1.3096,-1
0.73196,0.10238,1
-1.0158,-0.055503,1
0.37737,-0.57696,-1
-1.4199,-0.39957,1
0.25428,1.6488,1
2.0147,-0.76985,-1
1.6892,-1.2204,-1
-1.0116,0.059444,1
0.13805,-1.0784,-1
0.73561,0.067475,1
0.21865,-0.15529,-1
-1.3952,-1.321,1
-0.028477,1.6725,-1
-1.7083,-0.71796,1
0.61128,-0.072858,1
0.73403,-0.62501,-1
0.046998,-0.047155,-1
-2.4479,-0.22746,1
-0.13758,-1.3104,1
-0.4065,-0.12362,1
-0.50387,2.2009,-1
-0.76498,1.291,-1
-0.75505,0.30417,-1
-1.7091,1.3294,-1
0.095586,0.24448,1
-0.62638,-0.24477,1
0.27969,0.48546,1
-0.96353,1.3557,-1
1.0397,0.12502,1
0.84719,0.095292,1
-0.0023856,-2.4554,-1
1.8461,-0.67736,-1
-0.15534,-1.1761,1
0.32999,0.63027,1
-1.5985,1.132,-1
1.6224,0.89593,1
0.74187,-0.73754,-1
0.63321,0.43544,1
-0.53807,1.3019,-1
-1.3972,0.56161,-1
1.3709,0.1281,1
-0.51077,-1.4525,1
1.2333,0.7607,1
-0.91911,-0.10162,1
0.45919,-0.033064,1
-0.14278,0.77955,-1
-0.26239,-0.061534,1
-0.87977,0.0014526,1
2.0101,0.1951,1
1.6048,0.46981,1
-1.5873,0.3755,-1
0.7428,0.21403,1
0.33869,-0.32168,-1
0.2765,0.60087,1
0.3874,0.36831,1
-0.63876,-0.66311,1
0.9447,-0.0907,1
1.0677,0.40732,1
0.63521,-0.42394,-1
1.4057,-0.12194,1
0.073082,-0.86479,-1
1.5112,-0.15967,1
-1.2873,0.64211,-1
1.9304,-1.4673,-1
-2.6201,-0.35954,1
-0.27793,0.46721,-1
-0.8642,-0.23889,1
-0.59312,-2.6516,1
-1.5843,0.52905,-1
-1.2654,-1.2808,1
0.44767,-0.47322,-1
0.072443,-2.1493,-1
-0.28406,1.0598,-1
1.02,-1.4179,-1
-0.60631,-0.15548,1
2.0994,-1.2558,-1
1.608,-0.22418,1
0.14624,0.085974,1
-0.47955,2.6268,-1
1.3551,-0.027649,1
-2.4895,0.025047,1
-0.34348,0.91683,-1
-0.36761,-0.79027,1
0.01241,0.57087,-1
-0.25871,-0.052098,1
-0.15186,1.1034,-1
0.42347,-0.17975,-1
0.93525,0.91173,1
-1.3934,-0.19287,1
1.2801,-0.44282,-1
-0.23529,-1.5653,1
1.15,0.73449,1
-1.2143,-1.0666,1
-0.39281,0.48077,-1
0.25761,1.2232,1
-0.8313,-1.4568,1
-0.3189,1.3324,-1
-0.2755,-1.8309,1
0.48938,-0.19225,-1
-0.15562,0.49728,-1
1.3241,0.28975,1
-2.6715,0.65097,-1
-0.45753,-0.042981,1
-0.0024888,0.69721,-1
0.083038,0.45112,1
-0.42489,-0.20166,1
-0.066055,1.2966,-1
1.7978,0.7688,1
0.57704,-0.50537,-1
